open,high,low,close,volume,date
262.52,262.52,262.52,262.52,263.0,1999-12-31 05:45:00
262.5,262.5,262.5,262.5,263.0,2000-01-03 05:45:00
262.94,262.94,262.94,262.94,263.0,2000-01-04 05:45:00
264.52,264.52,264.52,264.52,265.0,2000-01-05 05:45:00
265.76,265.76,265.76,265.76,266.0,2000-01-06 05:45:00
267.88,267.88,267.88,267.88,268.0,2000-01-07 05:45:00
268.65,268.65,268.65,268.65,269.0,2000-01-10 05:45:00
269.92,269.92,269.92,269.92,270.0,2000-01-13 05:45:00
269.88,269.88,269.88,269.88,270.0,2000-01-14 05:45:00
272.55,272.55,272.55,272.55,273.0,2000-01-17 05:45:00
273.94,273.94,273.94,273.94,274.0,2000-01-18 05:45:00
276.67,276.67,276.67,276.67,277.0,2000-01-19 05:45:00
276.95,276.95,276.95,276.95,277.0,2000-01-20 05:45:00
278.33,278.33,278.33,278.33,278.0,2000-01-21 05:45:00
276.49,276.49,276.49,276.49,276.0,2000-01-24 05:45:00
275.78,275.78,275.78,275.78,276.0,2000-01-25 05:45:00
276.39,276.39,276.39,276.39,276.0,2000-01-26 05:45:00
277.16,277.16,277.16,277.16,277.0,2000-01-27 05:45:00
273.76,273.76,273.76,273.76,274.0,2000-01-28 05:45:00
275.78,275.78,275.78,275.78,276.0,2000-01-31 05:45:00
276.15,276.15,276.15,276.15,276.0,2000-02-01 05:45:00
277.21,277.21,277.21,277.21,277.0,2000-02-02 05:45:00
278.16,278.16,278.16,278.16,278.0,2000-02-03 05:45:00
278.96,278.96,278.96,278.96,279.0,2000-02-04 05:45:00
278.74,278.74,278.74,278.74,279.0,2000-02-07 05:45:00
282.37,282.37,282.37,282.37,282.0,2000-02-08 05:45:00
294.36,294.36,294.36,294.36,294.0,2000-02-09 05:45:00
285.3,285.3,285.3,285.3,285.0,2000-02-11 05:45:00
288.53,288.53,288.53,288.53,289.0,2000-02-14 05:45:00
301.88,301.88,301.88,301.88,302.0,2000-02-15 05:45:00
291.77,291.77,291.77,291.77,292.0,2000-02-16 05:45:00
295.06,295.06,295.06,295.06,295.0,2000-02-17 05:45:00
296.35,296.35,296.35,296.35,296.0,2000-02-18 05:45:00
296.43,296.43,296.43,296.43,296.0,2000-02-21 05:45:00
297.62,297.62,297.62,297.62,298.0,2000-02-22 05:45:00
311.42,311.42,311.42,311.42,311.0,2000-02-23 05:45:00
303.61,303.61,303.61,303.61,304.0,2000-02-24 05:45:00
304.55,304.55,304.55,304.55,305.0,2000-02-25 05:45:00
306.79,306.79,306.79,306.79,307.0,2000-02-28 05:45:00
308.19,308.19,308.19,308.19,308.0,2000-02-29 05:45:00
312.56,312.56,312.56,312.56,313.0,2000-03-01 05:45:00
315.97,315.97,315.97,315.97,316.0,2000-03-02 05:45:00
